Radiación global media diaria (decenas de kilojulios por metro cuadrado);;;;;;;;;;;;;;;;;;;
Indicativo;NOMBRE;ALTITUD;NOM_PROV;LONGITUD;LATITUD;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2011;1505;2175;2202;2608;3178;3311;3262;3005;2617;1898;1636;1592;2416
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2012;1627;1940;2574;2651;3088;3272;3113;2856;2599;1932;1444;1560;2388
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2013;1777;2096;2518;2897;3227;3433;3265;2875;2684;2165;1667;1308;2493
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2014;1576;2141;2563;2782;3302;3386;3311;2997;2511;1985;1524;1433;2459
C430E;IZAÑA;2371;SANTA CRUZ DE TENERIFE;1629582;281832;2015;1610;1951;2342;3062;;;;;;;;;
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2007;;;;2072;;2318;2496;2449;2096;1620;1301;1013;
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2008;1117;1268;1762;2345;2513;;2660;2499;1806;1423;1116;812;
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2009;1097;1441;1484;2064;2503;2505;2747;2474;1842;1659;1227;857;1825
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2010;1168;1274;1929;2011;2276;2317;2584;2431;2020;1526;1158;1013;1809
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2011;1138;1594;1807;1927;1851;2484;2219;2396;2021;1582;1133;890;1754
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2012;1199;1310;2054;1930;2568;2482;2593;2433;2191;1597;1046;1173;1881
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2013;1340;1410;1919;2120;2353;2459;2696;2412;2042;1649;1214;938;1879
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2014;1151;1600;1992;2244;2391;2541;2489;2664;2009;1462;1068;1002;1884
C447A;TENERIFE/LOS RODEOS;632;SANTA CRUZ DE TENERIFE;1619462;282839;2015;1063;1199;1949;2325;;;;;;;;;
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2006;;1379;1909;2154;2574;2535;2799;2628;2061;1621;1069;1113;
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2007;1276;1737;1812;2233;2317;2443;2662;2569;2156;1767;1344;1138;1954
C449C;STA.CRUZ DE TENERIFE;35;SANTA CRUZ DE TENERIFE;1615192;282748;2008;1196;1408;1821;2378;2629;2777;2812;2539;1889;1610;1182;938;1932
